timestamp,id,lot_size,session_id,deal_id,price,trading_type,platform_id
2019-10-24 11:11:02,73,2,27,73,0.07508543289260214,monthly,1.0
2019-10-24 11:11:02,74,30,27,74,0.07508543289260214,monthly,1.0
2019-10-24 11:11:02,75,500,27,75,0.07508543289260214,monthly,1.0
2019-10-24 11:11:02,76,2,27,76,0.08266067905749723,monthly,1.0
2019-10-24 11:13:48,77,15,27,77,0.06751018672770705,monthly,1.0
2019-10-24 11:13:48,78,12,27,78,0.06751018672770705,monthly,1.0
2019-10-24 11:13:48,79,10,27,79,0.06751018672770705,monthly,1.0
2019-10-24 11:13:48,80,10,27,80,0.06751018672770705,monthly,1.0
2019-10-24 11:13:48,81,100,27,81,0.06751018672770705,monthly,1.0
2019-10-24 11:13:48,82,7,27,82,0.06751018672770705,monthly,1.0
2019-10-24 11:13:48,83,5,27,83,0.06751018672770705,monthly,1.0
2019-10-24 11:13:48,84,5,27,84,0.06751018672770705,monthly,1.0
2019-10-24 11:13:48,85,5,27,85,0.06751018672770705,monthly,1.0
2019-10-24 11:13:48,86,4,27,86,0.06751018672770705,monthly,1.0
2019-10-24 11:13:48,87,4,27,87,0.06751018672770705,monthly,1.0
2019-10-24 11:13:48,88,31,27,88,0.06751018672770705,monthly,1.0
2019-10-24 11:13:48,89,3,27,89,0.06751018672770705,monthly,1.0
2019-10-24 11:17:49,90,2,27,90,0.06751018672770705,monthly,1.0
2019-10-24 11:17:49,91,584,27,91,0.06751018672770705,monthly,1.0
2019-10-24 11:17:49,92,6,27,92,0.07508543289260214,monthly,1.0
2019-10-24 11:59:38,93,3,27,93,0.029633955903231594,monthly,1.0
2019-10-24 11:59:38,94,1,27,94,0.029633955903231594,monthly,1.0
2019-10-24 11:59:38,95,1,27,95,0.029633955903231594,monthly,1.0
2019-10-24 11:59:38,96,2,27,96,0.029633955903231594,monthly,1.0
2019-10-24 11:59:38,97,7,27,97,0.029633955903231594,monthly,1.0
2019-10-24 11:59:38,98,3,27,98,0.029633955903231594,monthly,1.0
2019-10-24 11:59:38,99,5,27,99,0.029633955903231594,monthly,1.0
2019-10-24 11:59:38,100,13,27,100,0.029633955903231594,monthly,1.0
2019-10-24 11:59:38,101,14,27,101,0.029633955903231594,monthly,1.0
2019-10-24 11:59:38,102,2,27,102,0.029633955903231594,monthly,1.0
2019-10-24 11:59:38,103,22,27,103,0.029633955903231594,monthly,1.0
2019-10-24 11:59:38,104,20,27,104,0.029633955903231594,monthly,1.0
2019-10-24 11:59:38,105,1,27,105,0.029633955903231594,monthly,1.0
2019-10-24 11:59:38,106,5,27,106,0.029633955903231594,monthly,1.0
2019-10-24 11:59:38,107,5,27,107,0.029633955903231594,monthly,1.0
2019-10-24 12:00:01,108,20,27,108,-0.00824227492124386,monthly,1.0
2019-10-24 12:00:01,109,20,27,109,-0.00824227492124386,monthly,1.0
2019-10-24 12:00:01,110,7,27,110,-0.00824227492124386,monthly,1.0
2019-10-24 12:12:41,111,2,28,111,-0.04611850574571931,monthly,2.0
2019-10-24 12:21:09,112,15,28,112,-0.273375890692572,monthly,2.0
2019-10-24 12:21:09,113,17,28,113,-0.273375890692572,monthly,2.0
2019-10-24 12:21:09,114,6,28,114,-0.273375890692572,monthly,2.0
2019-10-24 12:21:09,115,38,28,115,-0.273375890692572,monthly,2.0
2019-10-24 12:21:09,116,5,28,116,-0.273375890692572,monthly,2.0
2019-10-24 12:21:09,117,11,28,117,-0.273375890692572,monthly,2.0
2019-10-24 12:21:09,118,1,28,118,-0.273375890692572,monthly,2.0
2019-10-24 12:21:09,119,5,28,119,-0.273375890692572,monthly,2.0
2019-10-24 12:21:09,120,3,28,120,-0.273375890692572,monthly,2.0
2019-10-24 12:21:09,121,23,28,121,-0.273375890692572,monthly,2.0
2019-10-24 12:21:09,122,7,28,122,-0.273375890692572,monthly,2.0
2019-10-24 12:21:09,123,38,28,123,-0.273375890692572,monthly,2.0
2019-10-24 12:21:09,124,2,28,124,-0.26580064452767693,monthly,2.0
2019-10-24 12:21:09,125,1,28,125,-0.26580064452767693,monthly,2.0
2019-10-24 12:21:09,126,16,28,126,-0.26580064452767693,monthly,2.0
2019-10-24 12:21:09,127,15,28,127,-0.26580064452767693,monthly,2.0
2019-10-24 12:21:09,128,3,28,128,-0.26580064452767693,monthly,2.0
2019-10-24 12:21:09,129,24,28,129,-0.25822539836278185,monthly,2.0
2019-10-24 12:23:56,130,5,28,130,-0.273375890692572,monthly,2.0
2019-10-24 12:25:15,131,3,28,131,-0.31125212151704745,monthly,2.0
2019-10-24 12:25:15,132,65,28,132,-0.31125212151704745,monthly,2.0
2019-10-24 12:25:15,133,3,28,133,-0.31125212151704745,monthly,2.0
2019-10-24 12:25:15,134,5,28,134,-0.31125212151704745,monthly,2.0
2019-10-24 12:25:15,135,36,28,135,-0.31125212151704745,monthly,2.0
